AGEP Age,MDCP Social Marital Status,OCC06P Occupation 06 (ANZSCO),None,One,Two,Three,Four,Five,Six or more,Not applicable,Total
0,Married in a registered marriage,Managers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Professionals,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Technicians and Trades Workers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Community and Personal Service Workers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Clerical and Administrative Workers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Sales Workers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Machinery Operators And Drivers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Labourers,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Inadequately described,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Not stated,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Not applicable,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Managers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Professionals,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Technicians and Trades Workers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Community and Personal Service Workers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Clerical and Administrative Workers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Sales Workers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Machinery Operators And Drivers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Labourers,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Inadequately described,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Not stated,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Not applicable,0,0,0,0,0,0,0,0,0
0,Not married,Managers,0,0,0,0,0,0,0,0,0
0,Not married,Professionals,0,0,0,0,0,0,0,0,0
0,Not married,Technicians and Trades Workers,0,0,0,0,0,0,0,0,0
0,Not married,Community and Personal Service Workers,0,0,0,0,0,0,0,0,0
0,Not married,Clerical and Administrative Workers,0,0,0,0,0,0,0,0,0
0,Not married,Sales Workers,0,0,0,0,0,0,0,0,0
0,Not married,Machinery Operators And Drivers,0,0,0,0,0,0,0,0,0
0,Not married,Labourers,0,0,0,0,0,0,0,0,0
0,Not married,Inadequately described,0,0,0,0,0,0,0,0,0
0,Not married,Not stated,0,0,0,0,0,0,0,0,0
0,Not married,Not applicable,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Managers,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Professionals,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Technicians and Trades Workers,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Community and Personal Service Workers,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Clerical and Administrative Workers,0,0,0,0,0,0,0,0,0
