AGEP Age,MDCP Social Marital Status,LFSP Labour Force Status,No children,1 child,2 children,3 children,4 children,5 children,6 children,7 children,8 children,Not applicable,Total
0,Married in a registered marriage,"Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Not in the labour force,0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Not stated,0,0,0,0,0,0,0,0,0,0,0
0,Married in a registered marriage,Not applicable,0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,"Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Not in the labour force,0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Not stated,0,0,0,0,0,0,0,0,0,0,0
0,Married in a de facto marriage,Not applicable,0,0,0,0,0,0,0,0,0,0,0
0,Not married,"Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,0
0,Not married,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,0
0,Not married,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,0
0,Not married,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,0
0,Not married,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,0
0,Not married,Not in the labour force,0,0,0,0,0,0,0,0,0,0,0
0,Not married,Not stated,0,0,0,0,0,0,0,0,0,0,0
0,Not married,Not applicable,0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,"Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Not in the labour force,0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Not stated,0,0,0,0,0,0,0,0,0,0,0
1,Married in a registered marriage,Not applicable,0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,"Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,Not in the labour force,0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,Not stated,0,0,0,0,0,0,0,0,0,0,0
1,Married in a de facto marriage,Not applicable,0,0,0,0,0,0,0,0,0,0,0
1,Not married,"Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,0
1,Not married,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,0
1,Not married,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,0
