broad,foe,
Science (excl maths),"Natural and Physical Sciences, nfd", 
Science (excl maths),Physics and Astronomy, 
Science (excl maths),Chemical Sciences,
Science (excl maths),Earth Sciences,
Science (excl maths),Biological Sciences,
Science (excl maths),Other Natural and Physical Sciences,
Maths,Mathematical Sciences,
IT,"Information Technology, nfd",
IT,Computer Science,
IT,Information Systems,
IT,Other Information Technology,
Engineering,"Engineering and Related Technologies, nfd",
Engineering,Manufacturing Engineering and Technology,
Engineering,Process and Resources Engineering,
Engineering,Automotive Engineering and Technology,
Engineering,Mechanical and Industrial Engineering and Technology,
Engineering,Civil Engineering,
Engineering,Geomatic Engineering,
Engineering,Electrical and Electronic Engineering and Technology,
Engineering,Aerospace Engineering and Technology,
Engineering,Maritime Engineering and Technology,
Engineering,Other Engineering and Related Technologies,
,"Architecture and Building, nfd",
,Architecture and Urban Environment,
,Building,
,"Agriculture, Environmental and Related Studies, nfd",
Agriculture,Agriculture,
,Horticulture and Viticulture,
,Forestry Studies,
,Fisheries Studies,
,Environmental Studies,
,"Other Agriculture, Environmental and Related Studies",
Other health,Complementary Therapies,
Other health,"Health, nfd",
Other health,Optical Science,
Other health,Other Health,
Other health,Pharmacy,
Other health,Public Health,
Other health,Radiography,
Other health,Rehabilitation Therapies,
Medicine,Medical Studies,
Dentistry,Dental Studies,
Other health,Veterinary Studies,
Nursing,Nursing,
Education,"Education, nfd",
Education,Teacher Education,
Education,Curriculum and Education Studies,
Education,Other Education,
Commerce,"Management and Commerce, nfd",
Commerce,Accounting,
Commerce,Business and Management,
Commerce,Sales and Marketing,
Commerce,Tourism,
Commerce,Office Studies,
Commerce,"Banking, Finance and Related Fields",
Commerce,Other Management and Commerce,
,Economics and Econometrics,
,"Society and Culture, nfd",
Humanities,Political Science and Policy Studies,
Humanities,Studies in Human Society,
,Human Welfare Studies and Services,
,Behavioural Science,
,Justice and Law Enforcement,
,"Librarianship, Information Management and Curatorial Studies",
Humanities,Language and Literature,
Humanities,Philosophy and Religious Studies,
,Sport and Recreation,
,Other Society and Culture,
Law,Law,
Other CA,"Creative Arts, nfd",
Other CA,Visual Arts and Crafts,
Other CA,Graphic and Design Studies,
Other CA,Communication and Media Studies,
Other CA,Other Creative Arts,
Performing Arts,Performing Arts,
Not applicable,Not applicable,
Not stated,Field of study not stated,
Architecture,Architecture,
