year,qualfield,gender_detail,lfs,count,pc,group,married,agegroup,code,gender,childgroup,child,mfc,bach,uniform,field,.group
2006,B. Commerce,f.haschild,"Employed, worked full-time",NA,0.2299441067871043,lfs.2534.uniform,NA,2534,f.haschild,f,TRUE,TRUE,"Female, with child",TRUE,TRUE,Commerce,16
2006,B. Commerce,f.haschild,"Employed, worked part-time",NA,0.3413431748359616,lfs.2534.uniform,NA,2534,f.haschild,f,TRUE,TRUE,"Female, with child",TRUE,TRUE,Commerce,17
2006,B. Commerce,f.haschild,"Employed, away from work",NA,0.11308814551835605,lfs.2534.uniform,NA,2534,f.haschild,f,TRUE,TRUE,"Female, with child",TRUE,TRUE,Commerce,18
2006,B. Commerce,f.haschild,Not in the labour force,NA,0.2850389106731035,lfs.2534.uniform,NA,2534,f.haschild,f,TRUE,TRUE,"Female, with child",TRUE,TRUE,Commerce,19
2006,B. Commerce,f.haschild,Unemployed,NA,0.03058566218547452,lfs.2534.uniform,NA,2534,f.haschild,f,TRUE,TRUE,"Female, with child",TRUE,TRUE,Commerce,20
2006,B. Commerce,f.nochild,"Employed, worked full-time",NA,0.8644184456925232,lfs.2534.uniform,NA,2534,f.nochild,f,TRUE,FALSE,"Female, no child",TRUE,TRUE,Commerce,21
2006,B. Commerce,f.nochild,"Employed, worked part-time",NA,0.06838415497709971,lfs.2534.uniform,NA,2534,f.nochild,f,TRUE,FALSE,"Female, no child",TRUE,TRUE,Commerce,22
2006,B. Commerce,f.nochild,"Employed, away from work",NA,0.03057126250863108,lfs.2534.uniform,NA,2534,f.nochild,f,TRUE,FALSE,"Female, no child",TRUE,TRUE,Commerce,23
2006,B. Commerce,f.nochild,Not in the labour force,NA,0.023795578090776044,lfs.2534.uniform,NA,2534,f.nochild,f,TRUE,FALSE,"Female, no child",TRUE,TRUE,Commerce,24
2006,B. Commerce,f.nochild,Unemployed,NA,0.012830558730969914,lfs.2534.uniform,NA,2534,f.nochild,f,TRUE,FALSE,"Female, no child",TRUE,TRUE,Commerce,25
