QALLP,Age,MDCP Social Marital Status,QALFP - 4 Digit Level,Labour Force Status,No children,1,2,3,4,5,6,7,8,Not applicible,Total
Bachelor,0,Married in a registered marriage,"Management and Commerce, nfd",EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,1,Married in a registered marriage,"Health, nfd",EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,2,Married in a registered marriage,Pharmacy,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Bachelor,3,Married in a registered marriage,Law,EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,4,Married in a registered marriage,"Banking, Finance and Related Fields",EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,5,Married in a registered marriage,"Natural and Physical Sciences, nfd",NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,6,Married in a registered marriage,Nursing,EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,7,Married in a registered marriage,Biological Sciences,NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,8,Married in a registered marriage,Mathematical Sciences,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,9,Married in a registered marriage,Philosophy and Religious Studies,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,10,Married in a registered marriage,Information Systems,EmployedFT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,11,Married in a registered marriage,Language and Literature,EmployedPT,0,0,0,0,0,0,0,0,0,0,0
Bachelor,12,Married in a registered marriage,Field of study not stated,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Bachelor,13,Married in a registered marriage,Agriculture,NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,14,Married in a registered marriage,Process and Resources Engineering,Unemployed,0,0,0,0,0,0,0,0,0,0,0
Bachelor,15,Married in a registered marriage,Office Studies,NILF,0,0,0,0,0,0,0,0,0,0,0
Bachelor,16,Married in a registered marriage,Other Health,EmployedAway,0,0,0,0,0,0,0,0,0,0,0
Bachelor,17,Married in a registered marriage,"Management and Commerce, nfd",EmployedPT,0,6,1,8,4,8,9,5,3,40,84
Bachelor,18,Married in a registered marriage,Public Health,EmployedPT,3,6,2,8,8,5,9,4,9,49,103
Bachelor,19,Married in a registered marriage,Electrical and Electronic Engineering and Technology,EmployedPT,3,4,6,2,5,8,2,6,0,32,68
Bachelor,20,Married in a registered marriage,Pharmacy,Unemployed,3,5,3,3,7,1,8,5,10,41,86
Bachelor,21,Married in a registered marriage,Physics and Astronomy,EmployedAway,5,8,6,6,4,2,9,5,0,41,86
Bachelor,22,Married in a registered marriage,Other Management and Commerce,EmployedAway,3,4,1,8,9,8,4,7,5,44,93
Bachelor,23,Married in a registered marriage,Rehabilitation Therapies,EmployedPT,1,7,1,9,9,1,9,1,6,40,84
Bachelor,24,Married in a registered marriage,Other Management and Commerce,Unemployed,4,1,7,9,5,3,4,2,5,36,76
Bachelor,25,Married in a registered marriage,Dental Studies,Unemployed,2,4,8,9,3,9,8,6,2,46,97
Bachelor,26,Married in a registered marriage,Nursing,EmployedFT,2,7,1,6,8,2,3,8,9,41,87
Bachelor,27,Married in a registered marriage,Tourism,Unemployed,1,4,1,2,2,6,6,9,3,31,65
Bachelor,28,Married in a registered marriage,Complementary Therapies,NILF,0,8,10,1,9,8,6,8,7,51,108
Bachelor,29,Married in a registered marriage,Other Information Technology,EmployedFT,0,7,5,9,7,0,4,8,4,40,84
Bachelor,30,Married in a registered marriage,Complementary Therapies,NILF,3,7,1,4,2,3,6,7,10,39,82
Bachelor,31,Married in a registered marriage,Office Studies,NILF,1,0,10,4,6,8,7,1,6,39,82
Bachelor,32,Married in a registered marriage,"Management and Commerce, nfd",NILF,1,10,6,9,3,2,5,7,5,43,91
Bachelor,33,Married in a registered marriage,Pharmacy,EmployedFT,1,6,6,1,1,6,5,9,10,41,86
Bachelor,34,Married in a registered marriage,Information Systems,EmployedAway,0,3,2,6,4,5,4,10,8,38,80
Bachelor,35,Married in a registered marriage,Medical Studies,EmployedFT,0,4,8,7,1,4,8,4,1,33,70
Bachelor,36,Married in a registered marriage,Language and Literature,Unemployed,3,7,1,7,3,3,7,1,7,35,74
Bachelor,37,Married in a registered marriage,Physics and Astronomy,EmployedPT,3,9,8,9,1,7,0,4,7,43,91
Bachelor,38,Married in a registered marriage,Other Creative Arts,NILF,1,6,4,2,7,0,6,7,5,34,72
Bachelor,39,Married in a registered marriage,Not applicable,EmployedPT,1,9,3,8,3,8,9,0,5,41,87
Bachelor,40,Married in a registered marriage,Sales and Marketing,EmployedPT,1,3,10,6,4,2,4,9,5,40,84
Bachelor,41,Married in a registered marriage,Other Management and Commerce,NILF,1,9,4,9,8,8,8,1,4,47,99
Bachelor,42,Married in a registered marriage,Geomatic Engineering,EmployedFT,0,1,1,7,3,8,8,6,3,33,70
Bachelor,43,Married in a registered marriage,Physics and Astronomy,Unemployed,2,1,9,1,2,7,1,4,5,29,61
Bachelor,44,Married in a registered marriage,Teacher Education,EmployedAway,2,5,1,9,3,3,1,6,4,31,65
Bachelor,45,Married in a registered marriage,Aerospace Engineering and Technology,EmployedFT,1,4,2,8,3,9,4,2,2,32,67
Bachelor,46,Married in a registered marriage,Process and Resources Engineering,EmployedAway,2,4,4,7,4,10,8,8,5,47,99
Bachelor,47,Married in a registered marriage,Medical Studies,Unemployed,1,0,9,6,1,4,1,1,4,24,51
Bachelor,48,Married in a registered marriage,"Management and Commerce, nfd",Unemployed,2,4,7,6,2,2,9,3,7,38,80
Bachelor,49,Married in a registered marriage,Sales and Marketing,NILF,1,3,7,8,2,4,5,8,5,39,82
Bachelor,50,Married in a registered marriage,"Natural and Physical Sciences, nfd",NILF,1,8,6,6,8,3,5,2,6,41,86
Bachelor,51,Married in a registered marriage,Biological Sciences,EmployedAway,2,8,4,9,9,4,0,5,7,43,91
Bachelor,52,Married in a registered marriage,Process and Resources Engineering,EmployedFT,2,6,1,7,8,7,7,4,4,41,87
Bachelor,53,Married in a registered marriage,Sales and Marketing,EmployedPT,0,7,6,5,1,3,4,4,2,29,61
Bachelor,54,Married in a registered marriage,Biological Sciences,EmployedPT,1,6,3,5,3,10,8,1,6,39,82
Bachelor,55,Married in a registered marriage,Complementary Therapies,NILF,0,9,8,5,2,3,9,4,1,37,78
Bachelor,56,Married in a registered marriage,"Education, nfd",NILF,1,9,7,1,9,8,8,6,5,49,103
Bachelor,57,Married in a registered marriage,Physics and Astronomy,NILF,0,2,10,6,8,8,6,2,7,44,93
Bachelor,58,Married in a registered marriage,Maritime Engineering and Technology,NILF,0,4,10,1,0,6,8,9,6,40,84
Bachelor,59,Married in a registered marriage,Other Engineering and Related Technologies,Unemployed,1,7,9,9,4,5,10,9,5,53,112
Bachelor,60,Married in a registered marriage,Aerospace Engineering and Technology,EmployedPT,1,9,6,2,1,1,4,10,9,39,82
Bachelor,61,Married in a registered marriage,Mechanical and Industrial Engineering and Technology,Unemployed,0,4,8,0,0,5,0,2,10,26,55
Bachelor,62,Married in a registered marriage,Communication and Media Studies,EmployedPT,1,5,0,1,9,8,5,1,1,28,59
Bachelor,63,Married in a registered marriage,"Management and Commerce, nfd",NILF,1,5,8,7,1,4,9,4,4,39,82
Bachelor,64,Married in a registered marriage,Rehabilitation Therapies,EmployedFT,0,4,3,5,8,6,1,9,6,38,80
Bachelor,65,Married in a registered marriage,Aerospace Engineering and Technology,NILF,1,2,8,9,1,7,2,0,1,28,59
Bachelor,66,Married in a registered marriage,"Health, nfd",NILF,0,3,9,7,9,10,2,0,10,45,95
Bachelor,67,Married in a registered marriage,Not applicable,EmployedPT,0,2,3,2,10,10,9,3,9,43,91
Bachelor,68,Married in a registered marriage,Other Management and Commerce,Unemployed,1,9,7,8,4,1,10,4,3,42,89
Bachelor,69,Married in a registered marriage,Performing Arts,EmployedPT,1,9,2,10,8,4,5,3,4,41,87
Bachelor,70,Married in a registered marriage,Graphic and Design Studies,EmployedAway,1,0,10,8,7,6,0,7,6,41,86
Bachelor,71,Married in a registered marriage,Optical Science,EmployedAway,0,2,3,10,3,1,1,8,3,28,59
Bachelor,72,Married in a registered marriage,Mathematical Sciences,NILF,1,2,4,7,1,5,5,0,5,27,57
Bachelor,73,Married in a registered marriage,"Health, nfd",Unemployed,0,6,10,4,0,4,6,4,2,32,68
Bachelor,74,Married in a registered marriage,Teacher Education,EmployedFT,1,10,4,1,1,5,6,5,3,32,68
Bachelor,75,Married in a registered marriage,Other Engineering and Related Technologies,EmployedPT,1,2,8,4,3,0,2,1,2,21,44
Bachelor,76,Married in a registered marriage,Other Health,EmployedAway,1,9,3,10,5,4,7,9,6,49,103
Bachelor,77,Married in a registered marriage,Medical Studies,NILF,1,1,1,9,6,3,9,8,6,40,84
Bachelor,78,Married in a registered marriage,Process and Resources Engineering,NILF,1,9,4,0,2,2,9,1,2,27,57
Bachelor,79,Married in a registered marriage,Graphic and Design Studies,Unemployed,0,10,4,6,4,2,2,6,4,34,72
Bachelor,80,Married in a registered marriage,Information Systems,EmployedPT,0,4,2,5,6,8,7,5,7,40,84
Bachelor,81,Married in a registered marriage,Law,Unemployed,0,2,7,2,7,4,7,8,3,36,76
Bachelor,82,Married in a registered marriage,Veterinary Studies,EmployedAway,0,1,5,6,3,7,5,6,5,34,72
Bachelor,83,Married in a registered marriage,"Information Technology, nfd",Unemployed,1,6,2,7,2,0,5,4,1,25,53
Bachelor,84,Married in a registered marriage,Other Creative Arts,EmployedFT,0,3,2,1,7,0,5,3,3,22,46
Bachelor,85,Married in a registered marriage,Visual Arts and Crafts,NILF,0,10,8,7,6,6,5,9,7,52,110
Bachelor,86,Married in a registered marriage,Aerospace Engineering and Technology,Unemployed,0,0,4,10,8,6,2,3,6,35,74
