year,qualfield,gender_detail,lfs,count,pc,group,married,agegroup,code,gender,childgroup,child,mfc,bach,uniform,field,.group
2006,B. Commerce,f,"Employed, worked full-time",NA,0.3981521748151701,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Commerce,6
2006,B. Commerce,f,"Employed, worked part-time",NA,0.18862462667782476,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Commerce,7
2006,B. Commerce,f,"Employed, away from work",NA,0.036102584160573714,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Commerce,8
2006,B. Commerce,f,Not in the labour force,NA,0.3611223623889977,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Commerce,9
2006,B. Commerce,f,Unemployed,NA,0.015998251957433693,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Commerce,10
2006,B. Education,f,"Employed, worked full-time",NA,0.31710075010927774,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Education,11
2006,B. Education,f,"Employed, worked part-time",NA,0.2692111997554595,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Education,12
2006,B. Education,f,"Employed, away from work",NA,0.04059091993623814,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Education,13
2006,B. Education,f,Not in the labour force,NA,0.3633469513959443,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Education,14
2006,B. Education,f,Unemployed,NA,0.009750178803080298,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Education,15
2006,B. Engineering,f,"Employed, worked full-time",NA,0.34711332631314845,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Engineering,16
2006,B. Engineering,f,"Employed, worked part-time",NA,0.14228702860899356,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Engineering,17
2006,B. Engineering,f,"Employed, away from work",NA,0.008660130718954249,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Engineering,18
2006,B. Engineering,f,Not in the labour force,NA,0.4887383538173176,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Engineering,19
2006,B. Engineering,f,Unemployed,NA,0.013201160541586073,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Engineering,20
2006,B. Humanities,f,"Employed, worked full-time",NA,0.26233319982845316,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Humanities,21
2006,B. Humanities,f,"Employed, worked part-time",NA,0.26982753971971307,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Humanities,22
2006,B. Humanities,f,"Employed, away from work",NA,0.03541605268269476,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Humanities,23
2006,B. Humanities,f,Not in the labour force,NA,0.42282403152784365,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Humanities,24
2006,B. Humanities,f,Unemployed,NA,0.00959917624129533,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Humanities,25
2006,B. IT,f,"Employed, worked full-time",NA,0.4253923031700809,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,IT,26
2006,B. IT,f,"Employed, worked part-time",NA,0.21281701837257394,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,IT,27
2006,B. IT,f,"Employed, away from work",NA,0.05242165242165242,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,IT,28
2006,B. IT,f,Not in the labour force,NA,0.297023347023347,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,IT,29
2006,B. IT,f,Unemployed,NA,0.012345679012345678,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,IT,30
2006,B. Law,f,"Employed, worked full-time",NA,0.471458179498512,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Law,31
2006,B. Law,f,"Employed, worked part-time",NA,0.21009991073956072,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Law,32
2006,B. Law,f,"Employed, away from work",NA,0.036471706620394485,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Law,33
2006,B. Law,f,Not in the labour force,NA,0.2760642972356269,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Law,34
2006,B. Law,f,Unemployed,NA,0.005905905905905906,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Law,35
2006,B. Medicine,f,"Employed, worked full-time",NA,0.4006874232453371,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Medicine,36
2006,B. Medicine,f,"Employed, worked part-time",NA,0.35552337075489915,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Medicine,37
2006,B. Medicine,f,"Employed, away from work",NA,0.04721721695519109,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Medicine,38
2006,B. Medicine,f,Not in the labour force,NA,0.17875342241196424,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Medicine,39
2006,B. Medicine,f,Unemployed,NA,0.01781856663260838,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Medicine,40
2006,B. Nursing,f,"Employed, worked full-time",NA,0.22562855340416926,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Nursing,41
2006,B. Nursing,f,"Employed, worked part-time",NA,0.3547277653578566,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Nursing,42
2006,B. Nursing,f,"Employed, away from work",NA,0.051611192245856294,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Nursing,43
2006,B. Nursing,f,Not in the labour force,NA,0.3626641450943624,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Nursing,44
2006,B. Nursing,f,Unemployed,NA,0.005368343897755421,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Nursing,45
2006,B. Other health,f,"Employed, worked full-time",NA,0.2914696832213992,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Other health,46
2006,B. Other health,f,"Employed, worked part-time",NA,0.3711843468384494,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Other health,47
2006,B. Other health,f,"Employed, away from work",NA,0.033999936833949154,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Other health,48
2006,B. Other health,f,Not in the labour force,NA,0.30061714597123773,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Other health,49
2006,B. Other health,f,Unemployed,NA,0.002728887134964483,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Other health,50
2006,B. Performing Arts,f,"Employed, worked full-time",NA,0.17814051474877507,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Performing Arts,51
2006,B. Performing Arts,f,"Employed, worked part-time",NA,0.45884909065991397,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Performing Arts,52
2006,B. Performing Arts,f,"Employed, away from work",NA,0.023757763975155277,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Performing Arts,53
2006,B. Performing Arts,f,Not in the labour force,NA,0.3392526306161557,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Performing Arts,54
2006,B. Performing Arts,f,Unemployed,NA,0,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Performing Arts,55
2006,B. Science (excl maths),f,"Employed, worked full-time",NA,0.2799630834499576,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Science (excl maths),56
2006,B. Science (excl maths),f,"Employed, worked part-time",NA,0.26620628620631315,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Science (excl maths),57
2006,B. Science (excl maths),f,"Employed, away from work",NA,0.036688302516429856,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Science (excl maths),58
2006,B. Science (excl maths),f,Not in the labour force,NA,0.3998211732411189,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Science (excl maths),59
2006,B. Science (excl maths),f,Unemployed,NA,0.017321154586180543,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Science (excl maths),60
2006,Y12,f,"Employed, worked full-time",NA,0.20532717646145138,lfs.5564.uniform.mar,TRUE,5564,f.mar,f,FALSE,NA,NA,TRUE,TRUE,Y12,61
