year,qualfield,gender_detail,occ,count,pc,group,married,code,agegroup,gender,childgroup,child,mfc,bach,uniform,field,.group
2006,B. Commerce,f,Manager/prof.,NA,0.6050402681709757,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Commerce,11
2006,B. Commerce,f,Tech/trade,NA,0.007039113561156972,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Commerce,12
2006,B. Commerce,f,Sales/admin/service,NA,0.2615192355207118,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Commerce,13
2006,B. Commerce,f,Labourer/machine,NA,0.0073357778054810915,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Commerce,14
2006,B. Commerce,f,Not working,NA,0.11906560494167445,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Commerce,15
2006,B. Education,f,Manager/prof.,NA,0.7706235065069991,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Education,21
2006,B. Education,f,Tech/trade,NA,0.0030370817517667036,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Education,22
2006,B. Education,f,Sales/admin/service,NA,0.0764619074267034,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Education,23
2006,B. Education,f,Labourer/machine,NA,0.0034953867287100967,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Education,24
2006,B. Education,f,Not working,NA,0.1463821175858207,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Education,25
2006,B. Engineering,f,Manager/prof.,NA,0.7035774847269815,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Engineering,31
2006,B. Engineering,f,Tech/trade,NA,0.04917931980703882,occ.2534.uniform,NA,f,2534,f,FALSE,NA,NA,TRUE,TRUE,Engineering,32
