Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"QALFP Non-School Qualification: Field of Study and OCC06P Occupation 06 (ANZSCO) by SEXP Sex, MDCP Social Marital Status and AGEP Age (5 Year Groups) by CITP Australian Citizenship and QALLP Non-School Qualification: Level of Education"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP Non-School Qualification: Level of Education","Bachelor Degree Level"

,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MDCP Social Marital Status","Married in a registered marriage",,,,,,,,,,,,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,,,,,,,,,,,"Not married",,,,,,,,,,,,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,,,,,,,,,,,"Not married",,,,,,,,,,,,,,,,,,,,,
,"AGEP Age (5 Year Groups)","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over",
"QALFP Non-School Qualification: Field of Study","OCC06P Occupation 06 (ANZSCO)",
"Natural and Physical Sciences, nfd","Managers",0,0,0,0,4,81,383,537,508,569,467,310,140,52,15,11,4,3,0,0,0,0,0,0,0,9,65,103,77,52,56,34,21,7,5,0,0,0,0,0,0,0,0,0,0,0,68,144,130,104,59,72,56,47,24,9,0,0,0,0,0,0,0,0,0,0,0,4,82,300,278,185,196,134,65,21,9,3,3,0,0,0,0,0,0,0,0,0,13,84,81,55,43,26,17,6,3,0,0,0,0,0,0,0,0,0,0,0,0,86,153,128,97,71,63,39,24,9,0,0,0,0,0,0,0,0,
,"Professionals",0,0,0,0,36,322,774,903,795,874,740,554,233,75,15,3,3,0,0,0,0,0,0,0,0,60,264,282,183,128,97,67,35,9,10,0,0,0,0,0,0,0,0,0,0,3,454,708,440,257,186,195,153,113,27,14,3,0,3,0,0,0,0,0,0,0,0,66,564,952,789,727,639,481,237,79,10,8,0,0,0,0,0,0,0,0,0,0,138,467,289,134,88,57,52,14,0,0,0,0,0,0,0,0,0,0,0,0,0,811,980,495,301,234,219,180,80,46,13,0,5,0,0,0,0,0,
,"Technicians and Trades Workers",0,0,0,0,9,77,138,145,115,117,98,59,29,4,0,0,0,0,0,0,0,0,0,0,0,16,59,49,37,16,20,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,166,159,117,61,37,39,20,20,11,3,0,0,0,0,0,0,0,0,0,0,0,22,113,154,103,109,104,56,32,15,3,0,0,0,0,0,0,0,0,0,0,0,58,91,56,24,10,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,215,92,56,37,41,34,10,7,0,0,0,0,0,0,0,0,
,"Community and Personal Service Workers",0,0,0,0,5,51,117,86,49,49,32,20,15,3,0,0,0,0,0,0,0,0,0,0,0,8,50,30,21,9,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,158,113,59,39,17,15,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6,68,120,81,66,86,45,27,6,0,0,0,0,0,0,0,0,0,0,0,0,36,58,39,21,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,285,158,70,36,28,18,16,15,4,0,0,0,0,0,0,0,0,
,"Clerical and Administrative Workers",0,0,0,0,8,51,106,118,103,116,116,71,32,18,6,3,0,0,0,0,0,0,0,0,0,10,36,38,22,18,9,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,117,123,76,60,47,29,22,13,9,0,0,0,0,0,0,0,0,0,0,0,0,29,136,375,320,269,251,171,100,41,15,3,0,0,0,0,0,0,0,0,0,0,39,141,90,48,23,15,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,358,318,179,100,81,57,40,30,6,3,0,3,0,0,0,0,0,
,"Sales Workers",0,0,0,0,3,34,90,88,52,68,46,41,19,5,0,0,0,0,0,0,0,0,0,0,0,4,37,25,10,6,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,161,105,46,27,10,11,9,11,0,5,0,0,0,0,0,0,0,0,0,0,0,12,59,76,77,44,47,26,14,4,3,0,0,0,0,0,0,0,0,0,0,0,26,46,19,12,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,394,112,63,25,15,12,12,3,3,4,0,0,0,0,0,0,0,
,"Machinery Operators And Drivers",0,0,0,0,0,6,31,31,42,41,37,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,5,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41,33,13,8,12,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,6,3,0,0,0,0,0,0,0,0,0,
,"Labourers",0,0,0,0,3,16,31,39,26,42,34,20,17,8,0,0,0,0,0,0,0,0,0,0,0,7,17,14,15,3,6,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,92,64,40,25,14,12,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,7,17,40,16,34,23,28,12,4,0,0,0,0,0,0,0,0,0,0,0,0,5,13,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,43,20,11,10,6,6,8,0,0,0,0,0,0,0,0,0,
,"Inadequately described",0,0,0,0,0,5,17,20,23,19,23,21,9,6,3,3,0,0,0,0,0,0,0,0,0,0,4,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,15,4,9,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,20,13,12,21,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,10,5,0,8,3,0,0,0,0,0,0,0,0,0,0,
,"Not stated",0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,3,4,0,0,0,0,0,0,0,0,0,0,0,
,"Not applicable",0,0,0,0,11,53,60,83,68,78,119,233,323,281,183,219,137,38,3,0,0,0,0,0,0,17,59,39,24,18,16,20,24,15,8,5,3,0,3,0,0,0,0,0,0,4,468,313,150,96,90,92,64,83,94,58,44,44,44,18,16,0,0,0,0,0,0,48,270,643,602,402,227,188,185,144,101,100,93,53,10,3,0,0,0,0,0,0,48,109,89,54,35,25,13,11,8,0,0,0,3,4,0,0,0,0,0,0,9,570,357,130,91,60,71,57,63,69,61,55,84,76,19,9,4,0,
"Mathematical Sciences","Managers",0,0,0,0,0,19,78,132,157,138,138,98,52,13,5,0,0,0,0,0,0,0,0,0,0,0,7,7,13,10,13,14,12,3,0,0,0,0,0,0,0,0,0,0,0,0,8,24,26,29,22,22,26,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,69,52,63,53,26,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,9,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,18,23,22,19,16,9,3,3,0,0,0,0,0,0,0,
,"Professionals",0,0,0,0,12,83,228,333,383,367,366,309,118,29,8,0,0,0,0,0,0,0,0,0,0,24,57,64,48,38,35,34,22,11,0,0,0,0,0,0,0,0,0,0,0,0,170,179,120,125,107,103,107,85,33,10,6,0,0,0,0,0,0,0,0,0,0,6,68,165,209,222,223,217,105,41,3,0,0,0,0,0,0,0,0,0,0,0,14,40,33,30,31,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,88,103,87,70,57,84,70,41,15,0,0,0,0,0,0,0,0,
,"Technicians and Trades Workers",0,0,0,0,0,5,12,24,40,23,22,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,15,16,9,9,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,15,6,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,3,5,5,3,3,0,0,0,0,0,0,0,0,0,
,"Community and Personal Service Workers",0,0,0,0,0,4,14,12,18,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,11,8,7,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,21,19,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,8,3,0,8,0,0,0,0,0,0,0,0,0,
,"Clerical and Administrative Workers",0,0,0,0,0,10,27,57,49,48,40,28,28,7,0,0,0,0,0,0,0,0,0,0,0,3,16,8,13,3,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,52,34,25,18,19,16,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,25,67,114,116,76,71,37,15,3,3,0,0,0,0,0,0,0,0,0,0,5,12,17,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,46,35,28,25,22,14,3,3,0,0,0,0,0,0,0,
,"Sales Workers",0,0,0,0,0,3,15,29,11,15,16,16,9,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,10,4,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,19,20,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,7,10,3,3,0,0,0,0,0,0,0,0,0,0,0,
,"Machinery Operators And Drivers",0,0,0,0,0,4,0,13,18,24,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,9,8,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Labourers",0,0,0,0,0,0,3,9,15,9,4,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,9,10,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Inadequately described",0,0,0,0,0,0,4,0,0,14,12,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Not applicable",0,0,0,0,3,9,9,28,38,46,61,116,171,131,79,53,23,8,3,0,0,0,0,0,0,0,5,3,3,3,3,12,18,19,0,0,0,0,0,0,0,0,0,0,0,3,80,53,34,26,37,48,41,73,60,24,19,18,7,3,0,0,0,0,0,0,0,4,34,120,155,131,85,74,82,76,37,24,13,6,0,0,0,0,0,0,0,0,3,7,8,3,8,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,34,30,23,27,32,13,23,28,41,23,22,14,17,10,3,0,0,
"Physics and Astronomy","Managers",0,0,0,0,0,0,17,32,60,55,45,53,16,5,0,3,0,0,0,0,0,0,0,0,0,0,3,6,5,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,7,10,9,17,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,
,"Professionals",0,0,0,0,0,26,69,100,140,110,117,106,51,17,3,4,3,0,0,0,0,0,0,0,0,9,15,22,15,21,18,15,8,8,0,0,0,0,0,0,0,0,0,0,0,0,80,95,53,40,43,41,32,32,13,8,0,0,0,0,0,0,0,0,0,0,0,0,11,18,20,21,14,14,14,5,6,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,13,7,4,9,3,8,3,0,0,0,0,0,0,0,0,
,"Technicians and Trades Workers",0,0,0,0,0,3,16,12,18,18,13,13,12,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,17,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Community and Personal Service Workers",0,0,0,0,0,0,3,3,7,3,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Clerical and Administrative Workers",0,0,0,0,0,0,5,10,8,9,16,19,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,0,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,19,12,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,3,4,0,3,0,0,0,0,0,0,0,0,0,
,"Sales Workers",0,0,0,0,0,0,0,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
