Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"QALFP Non-School Qualification: Field of Study and OCCP Occupation by SEXP Sex, MDCP Social Marital Status and AGE5P Age in Five Year Groups by CITP Australian Citizenship and QALLP Non-School Qualification: Level of Education"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP Non-School Qualification: Level of Education","Bachelor Degree Level"

,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MDCP Social Marital Status","Married in a registered marriage",,,,,,,,,,,,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,,,,,,,,,,,"Not married",,,,,,,,,,,,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,,,,,,,,,,,"Not married",,,,,,,,,,,,,,,,,,,,,
,"AGE5P Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over",
"QALFP Non-School Qualification: Field of Study","OCCP Occupation",
"Natural and Physical Sciences, nfd","Managers",0,0,0,0,4,73,311,629,591,501,571,396,207,62,23,5,7,0,0,0,0,0,0,0,0,6,74,82,85,83,39,69,17,19,8,0,0,0,0,0,0,0,0,0,0,0,59,117,110,91,104,68,77,42,25,19,5,0,0,0,0,0,0,0,0,0,0,3,74,253,398,350,235,196,84,41,16,8,5,3,0,0,0,0,0,0,0,0,10,81,101,85,64,37,27,7,4,3,0,0,0,0,0,0,0,0,0,0,0,45,128,155,127,93,97,56,44,14,9,3,0,0,0,0,0,0,
,"Professionals",0,0,0,0,26,249,685,995,894,782,752,612,396,131,34,8,0,0,0,0,0,0,0,0,0,43,278,233,226,171,111,81,54,37,5,5,0,0,0,0,0,0,0,0,0,3,410,679,395,298,227,218,182,145,76,20,6,0,0,0,0,0,0,0,0,0,0,28,514,858,1005,848,677,553,344,143,40,10,3,0,0,0,0,0,0,0,0,0,117,449,326,198,130,97,54,36,8,0,0,0,0,0,0,0,0,0,0,0,0,545,845,532,364,287,214,234,154,68,33,7,3,0,0,0,0,0,
,"Technicians and Trades Workers",0,0,0,0,3,42,110,179,151,118,104,80,40,17,5,0,0,0,0,0,0,0,0,0,0,15,62,38,55,26,5,19,11,4,0,0,0,0,0,0,0,0,0,0,0,0,127,176,88,75,41,44,28,12,11,6,4,0,0,0,0,0,0,0,0,0,0,12,82,153,166,134,119,70,46,26,3,0,0,0,0,0,0,0,0,0,0,0,29,93,46,24,26,15,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,177,188,86,47,60,31,27,29,12,8,0,0,0,0,0,0,0,
,"Community and Personal Service Workers",0,0,0,0,0,27,84,135,112,51,46,43,21,7,4,0,0,0,0,0,0,0,0,0,0,16,45,35,21,12,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,168,133,46,51,16,20,18,4,12,3,0,0,0,0,0,0,0,0,0,0,0,11,47,129,145,129,91,72,45,16,3,0,0,0,0,0,0,0,0,0,0,0,26,63,44,34,21,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,4,247,114,84,67,41,31,23,15,9,4,0,0,0,0,0,0,0,
,"Clerical and Administrative Workers",0,0,0,0,6,36,104,158,158,108,122,98,59,22,16,0,0,0,0,0,0,0,0,0,0,15,44,38,39,34,15,6,9,3,3,0,0,0,0,0,0,0,0,0,0,0,116,147,61,46,50,47,46,23,15,0,0,0,3,0,0,0,0,0,0,0,0,18,132,359,488,425,314,240,155,70,19,6,4,0,0,0,0,0,0,0,0,0,39,116,98,82,60,26,13,4,3,3,3,0,0,0,0,0,0,0,0,0,0,314,300,169,130,116,83,87,43,23,6,0,0,0,0,0,0,0,
,"Sales Workers",0,0,0,0,3,9,61,92,77,47,59,42,32,12,3,0,0,0,0,0,0,0,0,0,0,9,23,25,22,15,9,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,196,112,42,41,25,12,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,9,38,72,100,96,50,44,19,10,0,0,0,0,0,0,0,0,0,0,0,0,35,45,32,17,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,384,129,33,27,28,32,19,8,3,0,0,0,0,0,0,0,0,
,"Machinery Operators and Drivers",0,0,0,0,0,14,23,55,37,81,37,30,12,9,3,0,0,0,0,0,0,0,0,0,0,0,7,6,6,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,21,15,20,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,6,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,
