Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"QALFP - 4 Digit Level and OCCP - 1 Digit Level by SEXP Sex, MDCP Social Marital Status and AGE5P - Age in Five Year Groups by CITP Australian Citizenship and QALLP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP - 1 Digit Level","Bachelor Degree Level"

,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MDCP Social Marital Status","Married in a registered marriage",,,,,,,,,,,,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,,,,,,,,,,,"Not married",,,,,,,,,,,,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,,,,,,,,,,,"Not married",,,,,,,,,,,,,,,,,,,,,
,"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over",
"QALFP - 4 Digit Level","OCCP - 1 Digit Level",
"Natural and Physical Sciences, nfd","Managers",0,0,0,0,8,68,252,509,727,681,523,431,246,96,43,8,8,0,0,0,0,0,0,0,0,15,57,117,92,129,95,49,61,29,12,4,0,0,0,0,0,0,0,0,0,0,91,119,82,98,111,115,77,69,36,13,3,6,3,0,0,0,0,0,0,0,0,7,58,257,437,490,347,207,142,63,25,10,4,4,0,0,0,0,0,0,0,0,19,62,103,91,86,58,32,18,12,5,0,0,0,0,0,0,0,0,0,0,0,84,125,120,142,156,105,102,67,28,10,7,4,0,0,0,0,0,
,"Professionals",0,0,0,0,20,183,599,842,1015,898,739,660,409,217,53,16,0,0,0,0,0,0,0,0,0,51,268,235,173,188,141,115,74,47,13,3,0,0,0,0,0,0,0,0,0,0,507,619,352,217,229,219,203,159,110,44,11,3,0,0,0,0,0,0,0,0,0,19,292,869,1137,1158,865,643,461,217,67,20,0,0,0,0,3,0,0,0,0,0,103,372,306,256,195,138,89,42,28,3,0,0,0,0,0,0,0,0,0,0,0,592,741,458,410,387,313,262,202,126,40,14,6,3,0,0,0,0,
,"Technicians and Trades Workers",0,0,0,0,4,32,147,178,182,157,117,100,66,28,12,0,0,0,0,0,0,0,0,0,0,15,64,57,44,44,29,16,9,8,6,0,0,0,0,0,0,0,0,0,0,0,173,191,103,69,63,62,32,24,16,3,9,0,0,0,0,0,0,0,0,0,0,9,72,125,185,186,158,126,68,30,8,0,0,0,0,0,0,0,0,0,0,0,45,95,65,44,37,17,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,209,210,110,82,68,65,47,36,25,7,0,0,0,0,0,0,0,
,"Community and Personal Service Workers",0,0,0,0,9,31,97,113,169,112,56,49,32,19,0,3,0,0,0,0,0,0,0,0,0,17,52,37,31,28,16,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,274,165,78,40,31,32,26,20,6,5,0,0,0,0,0,0,0,0,0,0,0,13,43,108,195,218,155,102,85,29,8,8,0,0,0,0,0,0,0,0,0,0,58,70,57,35,50,23,4,6,4,0,0,0,0,0,0,0,0,0,0,0,7,496,181,74,80,64,60,48,34,11,0,0,0,0,0,0,0,0,
,"Clerical and Administrative Workers",0,0,0,0,4,21,93,134,165,152,141,120,82,33,18,4,0,0,0,0,0,0,0,0,0,11,43,52,36,37,35,15,9,6,0,3,0,0,0,0,0,0,0,0,0,0,193,166,79,63,59,49,46,36,12,7,0,0,0,0,0,0,0,0,0,0,0,6,130,307,444,586,429,311,224,102,44,9,7,0,0,0,0,0,0,0,0,0,53,96,102,90,104,59,23,27,4,0,0,0,0,0,0,0,0,0,0,0,0,452,311,178,165,150,133,101,69,37,8,0,0,0,0,0,0,0,
,"Sales Workers",0,0,0,0,4,25,59,74,100,82,59,52,34,20,3,0,3,0,0,0,0,0,0,0,0,28,33,30,13,16,19,12,4,3,3,0,0,0,0,0,0,0,0,0,0,5,363,151,50,28,24,22,12,9,3,0,4,0,0,0,0,0,0,0,0,0,0,14,42,69,105,141,84,64,35,16,3,0,0,0,0,0,0,0,0,0,0,0,30,46,37,21,14,15,3,8,0,0,0,0,0,0,0,0,0,0,0,0,6,639,184,53,49,39,34,26,17,11,3,0,0,0,0,0,0,0,
,"Machinery Operators and Drivers",0,0,0,0,0,10,54,56,61,64,63,47,33,11,3,0,0,0,0,0,0,0,0,0,0,4,9,14,16,8,8,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,68,57,16,12,26,15,12,12,6,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,13,7,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,4,11,6,3,4,0,0,0,0,0,0,0,0,0,0,
