Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"QALFP Non-School Qualification: Field of Study and LFSP Labour Force Status by AGEP Age (5 Year Groups), SEXP Sex, MDCP Social Marital Status and TISP Number of Children Ever Born by CITP Australian Citizenship and QALLP Non-School Qualification: Level of Education"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP Non-School Qualification: Level of Education","Bachelor Degree Level"

,"AGEP Age (5 Year Groups)","25-29 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30-34 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,"Male",,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MDCP Social Marital Status","Married in a registered marriage",,,,,,,,,"Married in a de facto marriage",,,,,,,,,"Not married",,,,,,,,,"Married in a registered marriage",,,,,,,,,"Married in a de facto marriage",,,,,,,,,"Not married",,,,,,,,,"Married in a registered marriage",,,,,,,,,"Married in a de facto marriage",,,,,,,,,"Not married",,,,,,,,,"Married in a registered marriage",,,,,,,,,"Married in a de facto marriage",,,,,,,,,"Not married",,,,,,,,,"Married in a registered marriage",,,,,,,,,"Married in a de facto marriage",,,,,,,,,"Not married",,,,,,,,,"Married in a registered marriage",,,,,,,,,"Married in a de facto marriage",,,,,,,,,"Not married",,,,,,,,,
,"TISP Number of Children Ever Born","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable","None","One","Two","Three","Four","Five","Six or more","Not stated","Not applicable",
"QALFP Non-School Qualification: Field of Study","LFSP Labour Force Status",
"Natural and Physical Sciences, nfd","Employed, worked full-time",0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,1122,618,46,16,3,0,0,0,5,0,681,8,5,0,0,0,0,6,0,1454,18,0,0,0,0,0,9,0,618,46,16,3,0,0,0,5,550,681,8,5,0,0,0,0,6,447,1454,18,0,0,0,0,0,9,1122,0,0,0,0,0,0,0,0,1493,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,755,641,162,141,21,3,0,0,4,0,404,20,12,0,0,0,0,3,0,805,20,4,3,0,0,0,6,0,641,162,141,21,3,0,0,4,1493,404,20,12,0,0,0,0,3,485,805,20,4,3,0,0,0,6,755,
,"Employed, worked part-time",0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,294,100,109,33,7,0,0,0,0,0,146,14,9,0,0,0,0,0,0,409,12,0,0,0,0,0,3,0,100,109,33,7,0,0,0,0,56,146,14,9,0,0,0,0,0,64,409,12,0,0,0,0,0,3,294,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,128,110,308,334,49,14,0,0,3,0,52,32,17,3,0,0,0,3,0,126,25,14,0,0,0,0,0,0,110,308,334,49,14,0,0,3,111,52,32,17,3,0,0,0,3,54,126,25,14,0,0,0,0,0,128,
,"Employed, away from work",0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,70,32,65,14,0,0,0,0,0,0,29,3,3,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,32,65,14,0,0,0,0,0,35,29,3,3,0,0,0,0,0,21,88,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,50,35,123,68,18,0,0,0,0,0,24,6,10,0,0,0,0,0,0,46,0,3,0,0,0,0,0,0,35,123,68,18,0,0,0,0,69,24,6,10,0,0,0,0,0,25,46,0,3,0,0,0,0,0,50,
,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,52,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,11,30,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,40,10,0,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,15,7,3,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,40,
,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,6,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,6,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,0,0,0,6,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,3,0,0,0,0,8,
,"Not in the labour force",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,244,63,105,67,11,0,0,0,3,0,69,12,8,3,0,0,0,0,0,290,9,7,3,0,0,0,0,0,63,105,67,11,0,0,0,3,47,69,12,8,3,0,0,0,0,48,290,9,7,3,0,0,0,0,244,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,101,25,176,265,111,24,0,3,0,0,14,22,18,6,4,0,0,0,0,67,15,4,4,0,0,0,0,0,25,176,265,111,24,0,3,0,41,14,22,18,6,4,0,0,0,16,67,15,4,4,0,0,0,0,101,
