Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"QALFP Non-School Qualification: Field of Study and LFSP Labour Force Status by AGE5P Age in Five Year Groups, SEXP Sex, MDCP Social Marital Status and TISP Number of Children Ever Born by CITP Australian Citizenship and QALLP Non-School Qualification: Level of Education"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP Non-School Qualification: Level of Education","Bachelor Degree Level"

,"AGE5P Age in Five Year Groups","25-29 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30-34 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MDCP Social Marital Status","Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,
,"TISP Number of Children Ever Born","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable","No children","1 child","2 children","3 children","4 children","5 children","6 children","7 children","8 children","Not stated","Not applicable",
"QALFP Non-School Qualification: Field of Study","LFSP Labour Force Status",
"Natural and Physical Sciences, nfd","Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,1046,504,69,18,0,0,0,0,0,0,0,0,666,12,3,0,0,0,0,0,0,3,0,1215,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,656,507,157,148,13,4,3,0,0,0,0,0,422,32,21,7,0,0,0,0,0,5,0,828,25,6,0,0,0,0,0,0,5,0,
,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,348,88,83,43,6,0,0,0,0,0,0,0,143,12,5,0,0,0,0,0,0,0,0,430,16,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,117,76,280,313,83,9,0,0,0,0,0,0,67,35,14,7,0,0,0,0,0,0,0,145,23,9,4,0,0,0,0,0,0,0,
,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,62,17,56,25,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22,27,140,118,22,0,0,0,0,0,0,0,25,14,6,3,0,0,0,0,0,0,0,33,3,0,0,0,3,0,0,0,0,0,
,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,77,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,36,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,
,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,7,6,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,
,"Not in the labour force",0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,296,46,83,43,17,0,0,0,0,0,0,0,75,15,6,0,0,0,0,0,0,0,0,319,7,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,64,29,157,235,93,19,10,0,0,0,4,0,15,14,21,4,0,0,0,0,0,0,0,77,17,14,4,0,3,0,0,0,3,0,
,"Not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
