Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"QALFP - 4 Digit Level and LFSP Labour Force Status by AGE5P - Age in Five Year Groups, SEXP Sex, MDCP Social Marital Status and TISRP Number of Children Ever Born (ranges) by CITP Australian Citizenship and QALLP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"QALLP - 1 Digit Level","Bachelor Degree Level"

,"AGE5P - Age in Five Year Groups","25-29 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30-34 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SEXP Sex","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MDCP Social Marital Status","Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,"Married in a registered marriage",,,,,,,,,,,"Married in a de facto marriage",,,,,,,,,,,"Not married",,,,,,,,,,,
,"TISRP Number of Children Ever Born (ranges)","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable","No children","One child","Two children","Three children","Four children","Five children","Six children","Seven children","Eight or more children","Not stated","Not applicable",
"QALFP - 4 Digit Level","LFSP Labour Force Status",
"Natural and Physical Sciences, nfd","Employed, worked full-time",0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,1013,331,35,11,3,0,0,0,0,0,3,0,556,10,0,0,0,0,0,0,0,8,0,1115,8,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,627,475,174,141,24,0,0,0,0,0,3,0,427,26,16,5,0,0,0,0,0,3,0,716,31,17,9,0,0,0,0,0,16,0,
,"Employed, worked part-time",0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,529,80,66,28,0,0,0,0,0,0,0,0,148,11,5,0,0,0,0,0,0,0,0,596,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,171,78,265,284,62,6,5,0,0,0,0,0,87,43,31,3,0,0,0,0,0,0,0,168,25,21,8,0,0,0,0,0,0,0,
,"Employed, away from work",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,56,23,49,14,3,0,0,0,0,0,0,0,14,4,6,0,0,0,0,0,0,5,0,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,36,19,135,89,20,3,0,0,0,0,0,0,21,25,12,3,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,
,"Unemployed, looking for full-time work",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,100,9,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,47,9,7,10,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,
,"Unemployed, looking for part-time work",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,4,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17,7,7,13,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,
,"Not in the labour force",0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,389,37,55,34,13,0,0,0,0,0,0,0,69,13,9,0,0,0,0,0,0,0,0,361,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,124,27,133,171,70,23,5,3,0,0,0,0,15,11,16,4,0,4,0,0,0,0,0,66,9,8,0,0,0,0,0,0,5,0,
,"Not stated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
